生徒ID,講座コード,講座名,課題名,教科,年度,回数,点数,提出日,採点日,備考
10000002,TODAI2018EN,大学別過去問添削講座,東京大学 英語 2018,英語,2018,1,73,2026/6/1,2026/6/1,ログインデモ生徒・東大志望
10000002,TODAI2018MS,大学別過去問添削講座,東京大学 理系数学 2018,数学,2018,1,82,2026/6/1,2026/6/1,ログインデモ生徒・東大志望
10000003,NAGOYA2018EN,大学別過去問添削講座,名古屋大学 英語 2018,英語,2018,1,66,2026/6/1,2026/6/1,ログインデモ生徒・名大志望
10000003,NAGOYA2018MS,大学別過去問添削講座,名古屋大学 理系数学 2018,数学,2018,1,78,2026/6/1,2026/6/1,ログインデモ生徒・名大志望
10000004,KYODAI2018EN,大学別過去問添削講座,京都大学 英語 2018,英語,2018,1,69,2026/6/1,2026/6/1,ログインデモ生徒・京大志望
10000004,KYODAI2018MH,大学別過去問添削講座,京都大学 文系数学 2018,数学,2018,1,62,2026/6/1,2026/6/1,ログインデモ生徒・京大志望
10000005,HAMAI2018EN,大学別過去問添削講座,浜松医科大学 英語 2018,英語,2018,1,65,2026/6/1,2026/6/1,ログインデモ生徒・浜医志望
10000005,HAMAI2018MA,大学別過去問添削講座,浜松医科大学 数学 2018,数学,2018,1,71,2026/6/1,2026/6/1,ログインデモ生徒・浜医志望
10000007,NAGOYA2018EN,大学別過去問添削講座,名古屋大学 英語 2018,英語,2018,1,68,2026/6/1,2026/6/1,初回ログインデモ生徒・名大志望
10000007,NAGOYA2018MS,大学別過去問添削講座,名古屋大学 理系数学 2018,数学,2018,1,74,2026/6/1,2026/6/1,初回ログインデモ生徒・名大志望
15016496,HAMAI2018MA,大学別過去問添削講座,浜松医科大学 数学 2018,数学,2018,1,46,2026/6/1,2026/6/1,生徒マスター・浜医志望
17007572,NAGOYA2018EN,大学別過去問添削講座,名古屋大学 英語 2018,英語,2018,1,57,2026/6/1,2026/6/1,生徒マスター・名大志望
19013447,KYODAI2018MH,大学別過去問添削講座,京都大学 文系数学 2018,数学,2018,1,64,2026/6/1,2026/6/1,生徒マスター・京大文系志望
17010237,KYODAI2018MS,大学別過去問添削講座,京都大学 理系数学 2018,数学,2018,1,70,2026/6/1,2026/6/1,生徒マスター・京大理系志望
