"生徒ID","講座コード","講座名","課題名","教科","年度","回数","点数","提出日","採点日","備考"
"82910001","01","東大2次演習","東大英語2026","英語","2026","1","63","2026-05-14","2026-05-15","toyota dummy score"
"82910002","01","東大2次演習","東大英語2026","英語","2026","1","64","2026-05-14","2026-05-15","toyota dummy score"
"82910003","01","東大2次演習","東大英語2026","英語","2026","1","65","2026-05-14","2026-05-15","toyota dummy score"
"82910004","01","東大2次演習","東大英語2026","英語","2026","1","66","2026-05-14","2026-05-15","toyota dummy score"
"82910005","01","東大2次演習","東大英語2026","英語","2026","1","67","2026-05-14","2026-05-15","toyota dummy score"
"82910006","10","東大2次演習","東大英語2026","英語","2026","1","58","2026-05-14","2026-05-15","toyota dummy score"
"82910007","15","東大2次演習","東大理系数学2026","数学","2026","2","65","2026-05-14","2026-05-15","toyota dummy score"
"82910008","20","京大2次演習","京大文系数学2026","数学","2026","3","72","2026-05-14","2026-05-15","toyota dummy score"
"82910009","25","京大2次演習","京大理系数学2026","数学","2026","1","79","2026-05-14","2026-05-15","toyota dummy score"
"82910010","26","京大2次演習","京大英語2026","英語","2026","2","86","2026-05-14","2026-05-15","toyota dummy score"
"82910011","27","京大2次演習","京大理系数学2026","数学","2026","3","93","2026-05-14","2026-05-15","toyota dummy score"
"82910012","30","名大2次演習","名大文系数学2026","数学","2026","1","63","2026-05-14","2026-05-15","toyota dummy score"
"82910013","31","名大2次演習","名大英語2026","英語","2026","2","70","2026-05-14","2026-05-15","toyota dummy score"
"82910014","35","名大2次演習","名大理系数学2026","数学","2026","3","77","2026-05-14","2026-05-15","toyota dummy score"
"82910015","36","名大2次演習","名大理系数学2026","数学","2026","1","84","2026-05-14","2026-05-15","toyota dummy score"
"82910016","37","名大2次演習","名大英語2026","英語","2026","2","91","2026-05-14","2026-05-15","toyota dummy score"
"82910017","40","浜松医大2次演習","浜松医大英語2026","英語","2026","3","61","2026-05-14","2026-05-15","toyota dummy score"
"82910018","15","東大2次演習","東大物理2026","物理","2026","1","68","2026-05-14","2026-05-15","toyota dummy score"
"82910019","25","京大2次演習","京大物理2026","物理","2026","2","75","2026-05-14","2026-05-15","toyota dummy score"
"82910020","40","浜松医大2次演習","浜松医大数学2026","数学","2026","3","82","2026-05-14","2026-05-15","toyota dummy score"
